2026-09-01 10:15:01,INFO,192.168.1.10,/home,200,120
2026-09-01 10:15:03,INFO,192.168.1.11,/products,200,250
2026-09-01 10:15:05,ERROR,192.168.1.12,/login,500,100
2026-09-01 10:15:07,INFO,192.168.1.10,/products,200,300
2026-09-01 10:15:10,ERROR,192.168.1.15,/payment,500,450
2026-09-01 10:15:12,INFO,192.168.1.10,/home,200,90
2026-09-01 10:15:15,INFO,192.168.1.20,/products,200,500
2026-09-01 10:15:20,ERROR,192.168.1.12,/payment,500,700
2026-09-01 10:15:25,INFO,192.168.1.11,/login,200,180
2026-09-01 10:15:30,INFO,192.168.1.10,/products,200,350
